Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,21.000000,38.799999,20.200001,30.700001,30.700001,1246700
2017-12-01,31.000000,44.200001,25.500000,32.500000,32.500000,1256370
2018-01-01,32.299999,43.400002,32.299999,41.500000,41.500000,575070
2018-02-01,41.599998,43.099998,34.000000,34.599998,34.599998,380350
2018-03-01,35.000000,42.000000,29.100000,41.700001,41.700001,502660
2018-04-01,42.000000,76.099998,41.299999,66.599998,66.599998,2916410
2018-05-01,66.599998,84.199997,61.299999,61.799999,61.799999,1111770
2018-06-01,62.400002,83.300003,51.599998,82.300003,82.300003,2277880
2018-07-01,81.000000,84.000000,69.000000,73.000000,73.000000,786200
2018-08-01,72.800003,88.900002,66.500000,69.500000,69.500000,666560
2018-09-01,69.599998,71.800003,46.299999,46.700001,46.700001,615490
2018-10-01,47.099998,48.000000,27.299999,32.799999,32.799999,1044020
2018-11-01,33.299999,45.299999,31.299999,43.299999,43.299999,632750
2018-12-01,50.000000,52.000000,37.400002,40.200001,40.200001,1092380
2019-01-01,39.299999,41.900002,32.299999,34.599998,34.599998,474350
2019-02-01,34.799999,38.299999,32.000000,32.799999,32.799999,399290
2019-03-01,33.000000,34.200001,28.500000,28.700001,28.700001,397210
2019-04-01,29.500000,35.099998,28.299999,32.599998,32.599998,367890
2019-05-01,32.500000,34.900002,31.000000,31.700001,31.700001,345890
2019-06-01,31.400000,37.400002,29.500000,32.000000,32.000000,364230
2019-07-01,32.400002,34.000000,29.400000,31.200001,31.200001,290810
2019-08-01,31.200001,35.000000,29.000000,32.599998,32.599998,393920
2019-09-01,32.599998,38.200001,31.500000,33.400002,33.400002,544220
2019-10-01,33.599998,36.700001,29.400000,32.799999,32.799999,246760
2019-11-01,32.900002,35.700001,31.100000,33.099998,33.099998,218390
2019-12-01,32.799999,33.099998,30.700001,30.900000,30.900000,184620
2020-01-01,31.100000,33.200001,28.000000,28.500000,28.500000,301220
2020-02-01,28.500000,28.900000,17.500000,17.700001,17.700001,491080
2020-03-01,17.700001,22.500000,11.500000,20.400000,20.400000,754070
2020-04-01,20.500000,20.600000,16.500000,18.600000,18.600000,278750
2020-05-01,18.100000,28.000000,16.000000,26.400000,26.400000,606360
2020-06-01,26.600000,28.400000,22.799999,25.000000,25.000000,404650
2020-07-01,24.900000,25.200001,18.700001,19.299999,19.299999,1282500
2020-08-01,19.600000,20.500000,16.700001,17.100000,17.100000,1150400
2020-09-01,17.000000,17.600000,14.600000,15.300000,15.300000,747390
2020-10-01,15.100000,24.000000,14.800000,23.500000,23.500000,979360
2020-11-01,23.799999,29.700001,18.900000,24.900000,24.900000,876220
2020-12-01,25.000000,32.099998,22.400000,29.500000,29.500000,964420
2021-01-01,30.000000,39.000000,27.600000,33.599998,33.599998,1074660
2021-02-01,33.599998,36.799999,24.200001,24.600000,24.600000,921700
2021-03-01,25.900000,26.700001,18.200001,24.000000,24.000000,4468780
2021-04-01,22.600000,23.799999,15.500000,17.900000,17.900000,5276600
2021-05-01,18.200001,18.500000,13.200000,16.000000,16.000000,2572520
2021-06-01,16.000000,17.799999,14.500000,15.500000,15.500000,2645260
2021-07-01,15.400000,15.500000,11.400000,11.600000,11.600000,1117180
2021-08-01,11.600000,16.500000,11.400000,16.000000,16.000000,4964080
2021-09-01,16.500000,17.400000,11.700000,11.900000,11.900000,7737850
2021-10-01,11.900000,12.400000,10.400000,10.800000,10.800000,3229640
2021-11-01,10.600000,11.700000,8.600000,9.000000,9.000000,3605000
2021-12-01,8.900000,9.300000,7.500000,8.000000,8.000000,1932400
2022-01-01,7.900000,8.700000,5.600000,6.700000,6.700000,2012240
2022-02-01,6.900000,9.200000,6.400000,8.400000,8.400000,993800
2022-03-01,8.500000,10.300000,7.600000,8.100000,8.100000,1005600
2022-04-01,8.200000,8.200000,4.100000,4.300000,4.300000,664920
2022-05-01,4.300000,6.800000,3.100000,3.400000,3.400000,906360
2022-06-01,4.700000,4.900000,2.690000,2.860000,2.860000,2539140
2022-07-01,3.070000,3.070000,2.470000,2.470000,2.470000,1099000
2022-08-01,2.470000,4.730000,2.240000,3.750000,3.750000,11048400
2022-09-01,3.720000,4.860000,2.570000,2.600000,2.600000,1649900
2022-10-01,2.660000,2.900000,2.600000,2.630000,2.630000,147700
